expected_slug,expected_chapter,db_found,db_active,db_has_instagram,db_sample_chapter,db_sample_school,provisional_count,request_id,request_status,request_stage,source_url,source_confidence,last_error,crawl_run_id,crawl_status,pages_processed,records_seen,records_upserted,review_items_created,field_jobs_created,failure_class,top_candidates,review_summary,vt_review_summary,provisional_summary
alpha-epsilon-pi,Sigma Alpha Chapter,False,False,False,,,0,d50ef705-d24c-41bb-a38f-7cded03edf5c,draft,awaiting_confirmation,https://aepi.org/about/chapter-roll/,0.9000,Source requires confirmation before crawl execution,463,partial,3,0,0,1,0,source_guard_reverted_to_confirmation,0.9: Alpha Epsilon Pi existing configured source (alpha -> https://aepi.org/about/chapter-roll/,adaptive_review_branch|Adaptive runtime could not identify a confident extraction path x1,,
alpha-gamma-rho,Beta Eta Chapter,True,True,False,Beta Eta (active),Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
alpha-phi-alpha,Theta Iota Chapter,False,False,False,,,0,90e4851b-fe99-47ed-982f-b696ac4e7204,draft,awaiting_confirmation,https://apa1906.net/chapter-locator/,0.9000,Source requires confirmation before crawl execution,464,succeeded,2,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Alpha Phi Alpha existing configured source (alpha- -> https://apa1906.net/chapter-locator/,,,
alpha-sigma-phi,Delta Upsilon Chapter,False,False,False,,,0,a8a639b3-f55c-41fd-8178-9bec59a7bb7a,draft,awaiting_confirmation,https://alphasig.org/chapters-by-state,0.9000,Source requires confirmation before crawl execution,465,succeeded,4,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Alpha Sigma Phi existing configured source (alpha- -> https://alphasig.org/chapters-by-state,,,
alpha-tau-omega,Theta Delta Chapter,True,True,True,Theta Delta,Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
beta-theta-pi,Alpha Phi Chapter,False,False,False,,,0,02960e82-a2b3-4660-b2d3-52fdf77b2551,succeeded,completed,https://www.beta.org/join/,0.9500,,466,partial,3,1,0,2,0,crawl_completed_without_promoting_vt_row,0.95: Beta Theta Pi verified source -> https://www.beta.org/join/,adaptive_review_branch|Adaptive runtime could not identify a confident extraction path x1; chapter_repair_candidate|identity_semantically_incomplete x1,,
beta-upsilon-chi,Beta Alpha Chapter,True,True,False,Virginia Tech,Virginia Tech,1,,,,,,,,,,,,,,succeeded_in_db,,,,Virginia Tech @ Virginia Tech ig= source=mailto:admin@byx.org
delta-chi,Virginia Tech Chapter,True,True,True,Virginia Tech Chapter,Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
delta-lambda-phi,Virginia Tech Provisional Chapter,False,False,False,,,0,18480062-8757-4170-aceb-202b708d0c94,draft,awaiting_confirmation,https://www.dlp.org/chapters,0.9000,Source requires confirmation before crawl execution,467,succeeded,3,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Delta Lambda Phi existing configured source (delta -> https://www.dlp.org/chapters,,,
delta-sigma-phi,Kappa Delta Chapter,True,True,False,Kappa Delta,Virginia Tech,0,,,,,,,,,,,,,,succeeded_in_db,,,,
delta-upsilon,Virginia Tech Provisional Chapter,False,False,False,,,0,69009919-d7d6-47b6-9b8c-854dd23f7ef9,draft,awaiting_confirmation,https://www.deltau.org/chapters,0.9500,Source requires confirmation before crawl execution,469,succeeded,4,0,0,0,0,source_guard_reverted_to_confirmation,0.95: Delta Upsilon verified source -> https://www.deltau.org/chapters,,,
kappa-alpha-order,Epsilon Eta Chapter,False,False,False,,,0,b990a518-cc71-4098-815d-74f22e271464,draft,awaiting_confirmation,https://www.kappaalphaorder.org/about/chapter-locator/,0.9000,Source requires confirmation before crawl execution,471,succeeded,4,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Kappa Alpha Order existing configured source (kapp -> https://www.kappaalphaorder.org/about/chapter-locator/,,,
kappa-alpha-psi,Theta Psi Chapter,False,False,False,,,0,135c627d-d3a0-44fb-96cc-9705a6cedc3a,draft,awaiting_confirmation,https://www.kappaalphapsi1911.com/,0.6100,Source requires confirmation before crawl execution,,,,,,,,source_guard_reverted_to_confirmation,"0.24: Test Prep Courses, Practice Tests, & Tutoring | Ka -> https://www.kaptest.com/ || 0.22999999999999998: 卡帕 (Kappa) - 知乎 -> https://www.zhihu.com/topic/20137592/intro || 0.22999999999999998: Sign in - Kaplan Test Prep -> https://www.kaptest.com/login || 0.21999999999999997: Contact Us | Kaplan Test Prep -> https://www.kaptest.com/contact-us || 0.20999999999999996: home – Kaplan Test Prep -> https://www.kaptest.com/study/home/",,,
kappa-delta-rho,Gamma Beta Chapter,True,True,True,Gamma Beta,Virginia Polytechnic Institute and State University,0,,,,,,,,,,,,,,succeeded_in_db,,,,
lambda-chi-alpha,Sigma Lambda Chapter,True,True,True,Sigma-Lambda (Virginia Tech),Virginia Polytechnic Institute & State University,0,,,,,,,,,,,,,,succeeded_in_db,,,,
lambda-phi-epsilon,Beta Zeta Chapter,False,False,False,,,0,f56e1f87-c7e8-4c6b-bb84-3476472f0d81,draft,awaiting_confirmation,https://lambdaphiepsilon.com/membership/,0.6100,Source requires confirmation before crawl execution,,,,,,,,source_guard_reverted_to_confirmation,0.3: Snaptube APK & App Download | Official Site -> https://origin.snaptube.support/ || 0.29: Baixar – Snaptube -> https://snaptubeappz.com/pt-br/download/ || 0.29: Spring Grass Green - The Official Register of Colo -> https://color-register.org/color/spring-grass-green || 0.24: Baixar Snaptube -> https://www.snaptube.io/pt/snaptube-download/ || 0.24: BCV是何方神圣? | DELL Technologies -> https://www.dell.com/community/zh/conversations/%E7%BB%BC%E5%90%88%E8%AE%A8%E8%A,,,
la-unidad-latina-lambda-upsilon-lambda,Delta Delta Chapter,False,False,False,,,0,fdd9da76-8b0a-45a4-b4b9-5658f8a77d04,succeeded,completed,https://www.launidadlatina.org/undergraduates/chapters/undergraduate-chapters/,0.6100,,456,succeeded,2,77,1,76,0,crawl_completed_without_promoting_vt_row,0.3: ¿Qué beneficios nos aporta el juego? -> https://www.laps4.com/preguntas-y-respuestas/que-beneficios-nos-aporta-el-juego || 0.27999999999999997: Google Chrome - The Fast & Secure Web Browser Buil -> https://www.google.com/chrome/ || 0.25999999999999995: The Keyword | Google Product and Technology News a -> https://blog.google/ || 0.24: Pinterest - 知乎 -> https://www.zhihu.com/topic/19559627/intro || 0.24: Google -> https://www.google.com/,chapter_repair_candidate|identity_semantically_incomplete x76,chapter_repair_candidate|identity_semantically_incomplete|Virginia Tech Provisional Chapter|Blacksburg,
omega-psi-phi,Eta Lambda Chapter,False,False,False,,,0,0eec3f9c-558c-43ca-9343-d0e3741fbf33,draft,awaiting_confirmation,https://oppf.org/,0.6100,Source requires confirmation before crawl execution,,,,,,,,source_guard_reverted_to_confirmation,0.33: OMEGA® Swiss Luxury Watches Since 1848 | OMEGA® -> https://www.omegawatches.com/ || 0.32: OMEGA's Timeless Watch Collections: Elegance & Cra -> https://www.omegawatches.com/en-us/watches || 0.31: Seamaster: Diving Watches for Men and Women | OMEG -> https://www.omegawatches.com/watches/seamaster || 0.26999999999999996: Speedmaster Watches: Chronographs for Precision &  -> https://www.omegawatches.com/en-us/watches/speedmaster || 0.25999999999999995: Watch Finder | OMEGA US® -> https://www.omegawatches.com/en-us/watchfinder,,,
phi-beta-sigma,Mu Nu Chapter,False,False,False,,,0,f39bd9d6-5a6f-417f-992c-07be92a76a0a,succeeded,completed,https://phibetasigma1914.org/resources/,0.6100,,473,failed,1,1,0,2,0,crawl_completed_without_promoting_vt_row,0.24: What is PHI? - HHS.gov -> https://www.hhs.gov/answers/hipaa/what-is-phi/index.html || 0.24: Channel Information – Mountain Lake PBS -> https://mountainlake.org/about/channel-information/ || 0.22999999999999998: Mountain Lake PBS Video -> https://video.mountainlake.org/ || 0.21999999999999997: Summary of the HIPAA Privacy Rule - HHS.gov -> https://www.hhs.gov/hipaa/for-professionals/privacy/laws-regulations/index.html || 0.21999999999999997: Mountain Lake Journal – Mountain Lake PBS -> https://mountainlake.org/category/watch/mountain-lake-journal/,chapter_search_rejected|navigation_or_chrome x1; crawl_failure|404 Client Error: Not Found for url: https://phibetasigma1914.org/connect/regions x1,,
phi-delta-theta,Virginia Eta Chapter,False,False,False,,,0,cf92ea47-b1e2-4500-a278-5f97a1b4db87,draft,awaiting_confirmation,https://phideltatheta.org/join/locate-phi-delt/,0.9000,Source requires confirmation before crawl execution,475,succeeded,1,0,0,0,0,source_guard_reverted_to_confirmation,0.9: Phi Delta Theta existing configured source (phi-de -> https://phideltatheta.org/join/locate-phi-delt/,,,
